code,genericName,strength,form,isControlled,defaultRoute,defaultFreq,defaultDuration
AMITRIP25,Amitriptyline,25mg,tablet,false
NORTRIP25,Nortriptyline,25mg,tablet,false
IMIPRAM25,Imipramine,25mg,tablet,false
CLOMIP25,Clomipramine,25mg,tablet,false
FLUOX20,Fluoxetine,20mg,capsule,false,oral,OD,1 month
SERT50,Sertraline,50mg,tablet,false,oral,OD,1 month
SERT100,Sertraline,100mg,tablet,false,oral,OD,1 month
PAROX20,Paroxetine,20mg,tablet,false,oral,OD,1 month
CITAL20,Citalopram,20mg,tablet,false,oral,OD,1 month
ESCIT10,Escitalopram,10mg,tablet,false,oral,OD,1 month
FLUVOX50,Fluvoxamine,50mg,tablet,false,oral,OD,1 month
DULOX30,Duloxetine,30mg,capsule,false,oral,OD,1 month
DULOX60,Duloxetine,60mg,capsule,false,oral,OD,1 month
VENLA75,Venlafaxine,75mg,tablet,false,oral,OD,1 month
MIRTAZ30,Mirtazapine,30mg,tablet,false
BUPROP150,Bupropion,150mg,tablet,false
HALOP5,Haloperidol,5mg,tablet,false
HALOPINJ,Haloperidol,5mg/ml,injection,false
CHLORPRO100,Chlorpromazine,100mg,tablet,false
RISP2,Risperidone,2mg,tablet,false
OLANZ10,Olanzapine,10mg,tablet,false
QUET100,Quetiapine,100mg,tablet,false
QUET200,Quetiapine,200mg,tablet,false
ARIP10,Aripiprazole,10mg,tablet,false
CLOZ100,Clozapine,100mg,tablet,false
FLUPHEN25,Fluphenazine decanoate,25mg/ml,injection,false
ZUCLO200,Zuclopenthixol decanoate,200mg/ml,injection,false
SULP200,Sulpiride,200mg,tablet,false
LITH300,Lithium carbonate,300mg,tablet,false
VALP500,Sodium valproate,500mg,tablet,false
CARBAM200,Carbamazepine,200mg,tablet,false
LAMO100,Lamotrigine,100mg,tablet,false
PHENY100,Phenytoin,100mg,tablet,false
PHENOBARB60,Phenobarbital,60mg,tablet,true
LEVET500,Levetiracetam,500mg,tablet,false
DIAZ5,Diazepam,5mg,tablet,true
DIAZINJ,Diazepam,5mg/ml,injection,true
LORAZ1,Lorazepam,1mg,tablet,true
LORAZINJ,Lorazepam,2mg/ml,injection,true
CLONAZ05,Clonazepam,0.5mg,tablet,true
ALPRAZ05,Alprazolam,0.5mg,tablet,true
CHLORDIAZ10,Chlordiazepoxide,10mg,capsule,true
MIDAZINJ,Midazolam,5mg/ml,injection,true
ZOLP10,Zolpidem,10mg,tablet,true
NITRAZ5,Nitrazepam,5mg,tablet,true
TRIHEX2,Trihexyphenidyl,2mg,tablet,false
PROCYC5,Procyclidine,5mg,tablet,false
BIPER2,Biperiden,2mg,tablet,false
METHYLPH10,Methylphenidate,10mg,tablet,true
ATOMOX25,Atomoxetine,25mg,capsule,false
DONEP5,Donepezil,5mg,tablet,false
MEMANT10,Memantine,10mg,tablet,false
NALTREX50,Naltrexone,50mg,tablet,false
DISULF250,Disulfiram,250mg,tablet,false
METHAD5,Methadone,5mg/5ml,oral solution,true
BUPRE2,Buprenorphine,2mg,sublingual tablet,true
ACAMP333,Acamprosate,333mg,tablet,false
THIAM100,Thiamine,100mg,tablet,false
PROPRAN40,Propranolol,40mg,tablet,false
CLONID100,Clonidine,100mcg,tablet,false
HYDROXYZ25,Hydroxyzine,25mg,tablet,false
PROMETH25,Promethazine,25mg,tablet,false
PARA500,Paracetamol,500mg,tablet,false
IBUP400,Ibuprofen,400mg,tablet,false
DICLO50,Diclofenac,50mg,tablet,false
ASP75,Aspirin,75mg,tablet,false
OMEP20,Omeprazole,20mg,capsule,false
RANIT150,Ranitidine,150mg,tablet,false
METOCLO10,Metoclopramide,10mg,tablet,false
ONDAN4,Ondansetron,4mg,tablet,false
AMOX500,Amoxicillin,500mg,capsule,false
COAMOX625,Amoxicillin-clavulanate,625mg,tablet,false
CIPRO500,Ciprofloxacin,500mg,tablet,false
AZITH500,Azithromycin,500mg,tablet,false
METRO400,Metronidazole,400mg,tablet,false
CEFTRI1G,Ceftriaxone,1g,injection,false
DOXY100,Doxycycline,100mg,capsule,false
COTRIM480,Co-trimoxazole,480mg,tablet,false
METFORM500,Metformin,500mg,tablet,false
GLIBEN5,Glibenclamide,5mg,tablet,false
AMLOD5,Amlodipine,5mg,tablet,false
ATEN50,Atenolol,50mg,tablet,false
LISIN10,Lisinopril,10mg,tablet,false
HCTZ25,Hydrochlorothiazide,25mg,tablet,false
FUROS40,Furosemide,40mg,tablet,false
ATORVA20,Atorvastatin,20mg,tablet,false
SALBINH,Salbutamol,100mcg/dose,inhaler,false
PRED5,Prednisolone,5mg,tablet,false
DEXAINJ,Dexamethasone,4mg/ml,injection,false
HYDROCORTINJ,Hydrocortisone,100mg,injection,false
FERROUS200,Ferrous sulfate,200mg,tablet,false
FOLIC5,Folic acid,5mg,tablet,false
LEVOTHY50,Levothyroxine,50mcg,tablet,false
LORAT10,Loratadine,10mg,tablet,false
CETIR10,Cetirizine,10mg,tablet,false
INSULINR,Insulin (soluble/regular),100IU/ml,injection,false
